OTTERNO,Date,Ottername,Blood Kit#,Region,PermitType,CaptureTime,General Location,Area,Captur_Loc-N/S,Capture_Loc-E/W,Previously Captured?,Capture Team,Capture Method,Caught with pup?,Caught with others?,Palpably Pregnant?,Right Tags,R-New?,Left Tags,L- New?,R Pit Tag #,R-working?,L Pit Tag #,L-working?,Radio Tag Freq,VHF type,TDR #,Capture Comments,Sex,AgeClass,Grizzle,Nose Wound,Weight (lbs),Weight (kg),Length (cm),Girth (cm),Tail Length (cm),Right paw width (mm),Baculum length (cm),General Tooth Wear,Incisor Comments,Canine Comments,Molar Comments,Canine width (mm),Oral lesions,Age Estimate,Age Estimator,Digital Photo of Mouth,Digital Photo of Nose,Tooth Age Est,Tooth Age Est Quality,Appearance Comments,Pup UON,Pup sex,Pup Weight (kg),Pup Length (cm),Release Type,Release Loc-N/S,Release Loc-E/W
N-1411-08-S,11-Nov-08,1129,439,BSR,TINKER/ESTES,12:20,ANDR,ANDR,36.16715,-121.686883,NO,WEITZMAN/ESSLINGER,Wilson Traps/ Divers,NO,YES,NO,LB-1/2-77,NO,PU-1/2-20,NO,,NO,476D462148,YES,,,,PUP PF 1105-08.  TAGGED BY JUSTINE AND CHANCEY.,f,p,1,1,17,7.7,83.5,55,19.6,31.1,,,,,,4.2,,0.4,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?09.056,W 121?40.657
N-1412-09-S,2-Nov-09,6.067,463,BSR,TINKER/ESTES,15:45,Square Black Rock,BCRK,36.0736,-121.612533,NO,KENNER/ HATFIELD,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-68,YES,RE-4/5-199,YES,,NO,477A550309,YES,166.067,Thermister,890396,,f,a,3,1,37.7,17.1,112,66.5,27.4,42.5,,Light,,,,6.6,,4,TINKER,NO,NO,,,,,,,,Shore Release,N 36?04.196,W 121?35.952
N-1412-09-S,9-Nov-11,6.067,21,BSR,TINKER/ESTES,13:08,Dolan rock,DLRK,36.0862,-121.621967,YES,HARRIS/KENNER,Wilson Traps/ Divers,NO,NO,NO,LB-1/2-305,NO,RE-4/5-127,YES,,NO,477A550309,YES,166.067,Thermister,EXPLANT,,f,a,4,1,43.7,19.8,113.6,74.3,25.8,43.4,,Light,,,,6.8,,5,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.975
N-1413-09-S,2-Nov-09,6.14,464,BSR,TINKER/ESTES,15:50,Vicente Creek,GAMB,36.036167,-121.58375,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-31,YES,TQ-1/2-73,YES,,NO,47781A3E35,YES,166.14,Thermister,990395,,f,a,,1,37.3,16.9,112,66.7,29.2,44.2,,Very Light,,,,7.6,,4,TINKER,NO,NO,,,,,,,,Shore Release,N 36?04.196,W 121?35.752
N-1414-09-S,3-Nov-09,6.153,465,BSR,TINKER/ESTES,9:24,VICENTE CREEK,GAMB,36.029233,-121.580567,NO,WEITZMAN/ AMES,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-49,YES,RE-4/5-132,YES,,NO,47797B4566,YES,166.153,Thermister,990396,,m,a,2,1,55.1,25,118.3,75,28,46.8,,Heavy,,,,8.5,,8,VIENS,NO,NO,,,"ALGAE ON TAIL (SAMPLE TAKEN), HOLE ON l 3/4 AT TIP OF FLIPPER, TEMPLE TO TEMPLE 102.3MM, NOSE TO CROWN 165.7MM.",,,,,,N 36?01.767,W 121?34.926
N-1415-09-S,3-Nov-09,1138,467,BSR,TINKER/ESTES,10:55,Square Black Rock,BCRK,,,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,YES,YES,LB-4/5-341,YES,PI-1/2-40,YES,,NO,477B565A7C,YES,,,,"COUGHT WITH 6.514, PREGNANT, LISTED N/W COORDINATES ARE FOR VINCENTE CREEK, BUT AREA IS LISTED AS SQUARE BLACK ROCK",f,a,1,,45.2,20.5,111,67.4,26.4,44.7,,Light,,,,7.5,,4,STAEDLER,NO,NO,,,PREGNANT,,,,,Boat Release,N 36? 4.090,W 121?36.064
N-1416-09-S,3-Nov-09,6.514,468,BSR,TINKER/ESTES,12:49,Square Black Rock,BCRK,,,NO,WEITZMAN/ HARRIS,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-58,YES,WH-1/2-59,YES,,NO,477244782E,YES,166.514,Thermister,990399,COUGHT WITH 1138-09,f,a,2,3,42.1,19.1,116,74.3,29.9,43.2,,Light,,,,7.1,,4,STAEDLER,NO,NO,,,"TEMP TO TEMP 89, NOSE TO CREST 152",,,,,Boat Release,N 36? 4. 09,W 121?36.065
N-1417-09-S,3-Nov-09,1140,469,BSR,TINKER/ESTES,13:55,DLCY,DLCY,36.110483,-121.633033,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,YES,LB-4/5-332,YES,LB-1/2-334,YES,,NO,476D77053E,YES,,,,"COUGHT WITH 1141-09, PREGNANT",f,a,4,1,49.6,22.5,115.2,74.1,26.4,41.7,,Heavy,,2 FRACTURES,DEEP WEAR ON BOTH UPPER AND LOWER,7.8,,9,STAEDLER,NO,NO,,,"PREGNANT, TEMPPLE TO TEMPLE 88.8, CREST TO NOSE 152.7",,,,,Boat Release,N 36?05.708,W 121?37.693
N-1418-09-S,3-Nov-09,1141,470,BSR,TINKER/ESTES,13:55,DLCY,DLCY,36.110483,-121.633033,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,YES,LB-1/2-73,YES,LG-4/5-2,YES,,NO,477221483D,YES,,,,"PREGNANT, COUGHT WITH 1140",f,a,2,1,45.6,20.7,112,73,26.2,43.8,,Light,,,,6.8,,5,STAEDLER/MURRAY,NO,NO,,,"SKULL TEMPLE TO TEMPLE 97.1, NOSE TO CREST 152.7",,,,,Boat Release,N 36?05.708,W 121?37.693
N-1418-09-S,25-Sep-10,6.602,514,BSR,TINKER/ESTES,14:38,DLCY,DLCY,36.1125,-121.633233,YES,WEITZMAN/KENNER,Wilson Traps/ Divers,NO,TRUE,NO,LB-1/2-317,YES,LG-4/5-80,YES,477221483D,YES,,NO,166.602,,,,f,a,3,2,43.9,19.9,110.5,72.2,27.7,41.7,,,,,,6.7,,6,STAEDLER,NO,NO,,,HAD PIT TAG BUT COULD NOT READ IT.  FORMERLY 1141 (BRD# 1141-09).  MISED AGE ESTIMATE AND HEAD MEASUREMENTS AS SX ENDED QUICKLY BECAUSE OF A DIFFERENT WARM OTTER,,,,,Boat Release,N 36?07.160,W 121?38.185
N-1419-09-S,4-Nov-09,6.553,471,BSR,TINKER/ESTES,10:40,John Little State Park,DLCY,36.112733,-121.634767,NO,KENNER/ HATFIELD,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-330,YES,CH-4/5-191,YES,,NO,48000C5E0E,YES,166.553,Thermister,990402,COUGHT WITH 1143-09,f,s,1,3,31.7,14.4,108,67.4,28.1,43.6,,Very Light,,,,7.2,,2.5,STAEDLER,NO,NO,,,"TEMPLE TO TEMPLE 95, NOSE TO CREST 148.4",,,,,,N 36?06.732,W 121?38.150
N-1419-09-S,24-Sep-10,6.553,510,BSR,TINKER/ESTES,13:25,ANDR,ANDR,36.153683,-121.669233,YES,ESSLINGER/KENNER,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-6189,YES,CH-4/5-142,YES,476B2B0C26,YES,,NO,166.553,Thermister,EXPLANT,,f,a,2,3,35.1,15.9,108,71.8,26.6,42.3,,Light,LIGHT WEAR ON UPPER AND LOWER INCISORS,,,5.7,,4.5,MURRAY,NO,NO,,,,,,,,Boat Release,N 36?09.221,W 121?40.154
N-1420-09-S,4-Nov-09,6.578,472,BSR,TINKER/ESTES,10:40,John Little State Park,DLCY,36.112733,-121.634767,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-350,YES,TQ-4/5-90,YES,,NO,4802574D39,YES,166.578,Thermister,990403,COUGHT WITH 1142-09,m,a,2,1,51.8,23.5,123,75.3,30.2,43.7,,Moderate,,,,8.4,,7,MURRAY,NO,NO,,,"SKULL TEMPLE TO TEMPLE 106.8, NOSE TO CREST152.9",,,,,,N 36?06.732,W 121?38.150
N-1421-09-S,4-Nov-09,1144,473,BSR,TINKER/ESTES,14:08,Lopez Rock,LOPZ,36.024267,-121.579767,NO,WEITZMAN/ HARRIS,Wilson Traps/ Divers,NO,YES,YES,LB-1/2-6200,YES,WH-1/2-57,YES,,NO,4800272B00,YES,,,,COUGHT WITH 1145,f,a,2,1,35.7,16.2,116,75.5,27.8,43.4,,Very Light,,,,6.9,,4,STAEDLER,NO,NO,,,"PREGNANT, SKULL TEMPLE TO TEMPLE 97.5, NOSE TO CREST 152.5",,,,,Boat Release,N 36? 1.484,W 121?34.892
N-1422-09-S,4-Nov-09,1145,474,BSR,TINKER/ESTES,14:08,Lopez Rock,LOPZ,36.02428,-121.58,NO,WEITZMAN/ HARRIS,Wilson Traps/ Divers,NO,YES,YES,WH-1/2-23,YES,LG-4/5-98,YES,,NO,4803663049,YES,,,,"COUGHT WITH 1144, PREGNANT, L FLIPPER HAS NOTCH @1/2",f,a,2,3,42.8,19.4,113.8,71.6,30,44.5,,Moderate,,,,11.3,,7,STAEDLER,NO,NO,,,"PREGNANT, SKULL, TEMPLE TO TEMPLE 100.8, NOSE TO CREST 153",,,,,Boat Release,N 36?02.473,W 121?58.153
N-1423-09-S,4-Nov-09,6.628,534,BSR,TINKER/ESTES,15:55,Square Black Rock,BCRK,36.07505,-121.61335,NO,KENNER/ HATFIELD,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-64,YES,YE-4/5-6965,YES,,NO,4772264E6C,YES,166.628,Thermister,990406,COUGHT WITH 6.642,f,j,1,1,22.3,10.1,91.7,56,23.6,36.1,,Very Light,,,,6,,1,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.196,W 121?35.952
N-1424-09-S,4-Nov-09,6.642,535,BSR,TINKER/ESTES,15:55,Square Black Rock,BCRK,36.07505,-121.61345,NO,HATFIELD/ KENNER,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-1,YES,PI-4/5-342,YES,,NO,47722A6939,YES,166.642,Thermister,990407,COUGHT WITH 6.628,m,s,1,1,28,12.7,102,65.3,26.3,43.4,,Very Light,,,,8.4,,2,STAEDLER,NO,NO,,,"SKULL= TEMPLE TO TEMPLE 94.0, NOSE TO CREST 152.5",,,,,,,
N-1425-09-S,5-Nov-09,6.665,536,BSR,TINKER/ESTES,9:40,Rat Creek,DLRK,36.09375,-121.625967,NO,KENNER/HATFIELD,Wilson Traps/ Divers,YES,NO,NO,WH-1/2-34,YES,WH-4/5-54,YES,,NO,48023F6901,YES,166.665,Thermister,990408,PUP- 1149,f,a,2,3,45.2,20.5,115.2,78,29.1,43.3,,Light,,,,8.1,,5,STAEDLER,NO,NO,,,"SKULL TEMPLE TO TEMPLE 94.9, NOSE TO CREST151.9",N-1426-09-S,F,1.82,53.1,Boat Release,N 36?05.639,W 121?37.576
N-1426-09-S,5-Nov-09,1149,,BSR,TINKER/ESTES,9:40,Rat Creek,DLRK,36.09375,-121.625967,NO,HATFIELD/KENNER,Wilson Traps/ Divers,NO,YES,NO,- -,NO,- -,NO,,NO,,NO,,,,"CAPTURED WITH MOM, 1148-09",f,p,1,1,4,1.8,53.1,35.5,0,,,,,,,,,0.06,STAEDLER,NO,NO,,,,,,,,Boat Release,N 36?05.639,W 121?37.576
N-1427-09-S,5-Nov-09,1150,537,BSR,TINKER/ESTES,9:59,N Dolan Canyon,DLCY,36.110217,-121.633,NO,WEITZMAN/HARRIS,Wilson Traps/ Divers,NO,YES,YES,WH-4/5-45,YES,LG-4/5-6306,YES,,NO,480264404E,YES,,,,PREGNANT. COUGHT WITH 1151,f,a,1,1,62.4,28.3,117.9,84.4,27.1,43.8,,Light,,,,7.73,UPPER R CANINE OLD FRACTURE,5,STAEDLER,NO,NO,,,"TEMPLE TO TEMPLE 92.3, NOSE TO CREST 153.0",,,,,,N 36?06.575,W 121?20.218
N-1428-09-S,5-Nov-09,1151,538,BSR,TINKER/ESTES,9:59,Dolan Canyon,DLCY,36.110217,-121.633017,NO,HARRIS/WEITZMAN,Wilson Traps/ Divers,NO,YES,YES,LB-4/5-6154,YES,YE-1/2-6971,YES,,NO,477A666258,YES,,,,,f,a,4,2,52.6,23.9,121.7,80,29,45,,Moderate,,,,8.1,,9,,NO,NO,,,NOSE TO CREST 151.61,,,,,Boat Release,N 36? 6.575,W 121?20.187
N-1436-10-S,22-Sep-10,7.655,554,BSR,TINKER/ESTES,9:30,LIME,LIME,36.006083,-121.517383,NO,HARRIS/HATFIELD,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-30,YES,SI-4/5-20,YES,,NO,477B731B29,YES,167.655,,,,f,a,3,3,38.6,17.5,110.5,71,28.2,44.3,,Very Light,,PIT IN LOWER LEFT CAININE,,6.4,,5,MURRAY,NO,NO,,,,,,,,Boat Release,N 36?00.645,W 121?32.094
N-1437-10-S,22-Sep-10,1160,555,BSR,TINKER/ESTES,11:51,KIRK,KIRK,35.991567,-121.500367,NO,HARRIS/HATFIELD,Wilson Traps/ Divers,NO,NO,YES,LB-4/5-339,YES,OR-1/2-6769,YES,,NO,48021E6C3B,YES,,,,,f,a,3,,43.2,19.6,113.7,79,28.6,43.9,,,,,,7.2,,8,STAEDLER,NO,NO,,,PALPABLY PREGNANT.  NEAR TERM PREGNANCY.  HEAD ON RIGHT.,,,,,Boat Release,N 36?00.524,W 121?31.573
N-1438-10-S,22-Sep-10,6.59,556,BSR,TINKER/ESTES,12:35,Vicente Creek,GAMB,36.040717,-121.586367,NO,ESSLINGER/KENNER/TINKER/TOMOLEONI,Wilson Traps/ Divers,NO,NO,NO,WH-4/5-42,YES,RB-4/5-22,YES,,NO,477D5F4C44,YES,166.59,Thermister,,,f,a,4,3,36.2,16.4,111.7,73.3,29.5,39.4,,Light,,"UPPER RIGHT CAININE FRACTURED AND PULP EXPOSED, MODERATE TARTAR ON LOWER CAININES",,6.5,,4.5,BODKIN,NO,NO,,,"GRIZZLE TO CHEST, BUT NOT VISIBLE FROM SCOPE",,,,,Boat Release,N 36?00.924,W 121?33.817
N-1439-10-S,23-Sep-10,6.541,557,BSR,TINKER/ESTES,10:50,BCRK,BCRK,36.06223,-121.596217,NO,ESSLINGER/KENNER/TINKER,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-24,YES,OR-1/2-78,YES,,NO,477A4E633B,YES,166.541,Thermister,,,f,a,2,2,44.1,20,110.6,72,27.8,45.8,,Very Light,SLIGHT WEAR ON UPPER AND LOWER INCISORS,,"MISSING UPPER RIGHT FIRST PREMOLAR, REMOVED UPPER LEFT FIRST PREMOLAR",7.3,,3.5,JESSUP,NO,NO,,,,,,,,Boat Release,N 36?03.734,W 121?35.832
N-1440-10-S,24-Sep-10,1163,558,BSR,TINKER/ESTES,12:45,BURN,BURN,36.1355,-121.6549,NO,HATFIELD/HARRIS/TINKER,Wilson Traps/ Divers,NO,YES,NO,BR-1/2-6511,YES,TQ-1/2-76,YES,,NO,48023F0404,YES,,,,CAUGHT WITH MOM (5.283 [BRD #1074]),f,p,1,1,20.7,9.4,84.8,58.9,21.6,36.5,,,,,,,,0.28,STAEDLER,NO,NO,,,NORMAL,,,,,Boat Release,N 36?08.610,W 121?39.650
N-1441-10-S,24-Sep-10,1164,559,BSR,TINKER/ESTES,13:25,ANDR,ANDR,36.153683,-121.669583,NO,ESSLINGER/KENNER,Wilson Traps/ Divers,NO,YES,YES,BR-4/5-6541,YES,YE-4/5-6989,YES,,NO,476F41555E,YES,,,,,f,a,4,4,54.5,24.7,113,83.5,29,41.4,,,,,,6.6,,8,STAEDLER,NO,NO,,,PALPABLY PREGNANT (3/4 TERM),,,,,Boat Release,N 36?09.221,W 121?40.175
N-1442-10-S,25-Sep-10,6.503,560,BSR,TINKER/ESTES,11:32,DLCY,DLCY,36.1125,-121.633267,NO,WEITZMAN/KENNER,Wilson Traps/ Divers,NO,YES,NO,WH-4/5-50,YES,TQ-4/5-35,YES,,NO,477845691A,YES,166.503,,,,m,a,3,1,60.2,27.3,126.2,79.4,29.6,45.7,13.4,Light,WORN TOP FRONT INCISORS,,REMOVED FRONT TOP RIGHT PREMOLAR,,,7,STAEDLER,NO,NO,,,GRIZZLE ON TAIL,,,,,Boat Release,N 36?06.205,W 121?37.698
N-1443-10-S,25-Sep-10,6.778,561,BSR,TINKER/ESTES,11:32,DLCY,DLCY,36.1128,-121.638217,NO,KENNER/WEITZMAN,Wilson Traps/ Divers,NO,YES,NO,LB-4/5-338,YES,LG-4/5-4,YES,,NO,47781E1B03,YES,166.778,,,CAUGHT WITH BRD# 1165-10 (6.503),f,a,4,3,35.7,16.2,112.8,73.5,29.1,41.6,,Very Light,,,,6.5,,4,MURRAY,NO,NO,,,RED BITE MARKS ON NOSE.  CAPTURE BOX (TiTi) WAS CHEWED ON AND SPLINTERED,,,,,Boat Release,N 36?06.205,W 121?37.698
N-1444-10-S,25-Sep-10,6.528,562,BSR,TINKER/ESTES,14:38,DLCY,DLCY,36.112567,-121.633233,NO,KENNER/WEITZMAN,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-247,YES,RB-1/2-1,YES,,NO,477B325E1C,YES,166.528,,,,f,s,3,1,31.5,14.3,109,68.9,27,39.95,,Light,SLIGHT WEAR ON UPPER AND LOWER CANINES,,,6.4,,3,STAEDLER,NO,NO,,,NORMAL,,,,,Boat Release,N 36?07.160,W 121?38.185
N-1445-10-S,27-Sep-10,6.318,563,BSR,TINKER/ESTES,10:59,WCTL,WCTL,35.97615,-121.4917,NO,ESSLINGER/KENNER,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-53,YES,OR-4/5-45,YES,,NO,47785A632C,YES,166.318,,,,f,a,2,4,48.9,22.2,114.3,75.1,28.4,43.4,,Light,MODERATE WEAR TOP AND BOTTOM,ACUTE FRACTURE ON TOP LEFT CANINE,,7.9,,6,MURRAY,NO,NO,,,,,,,,Boat Release,N 36?58.733,W 121?29.608
N-1446-10-S,27-Sep-10,6.727,564,BSR,TINKER/ESTES,14:38,JADE,JADE,35.914783,-121.476617,NO,TOMOLEONI/HATFIELD/HARRIS,Wilson Traps/ Divers,NO,NO,NO,LB-4/5-313,YES,TQ-1/2-67,YES,,NO,477179292D,YES,166.727,,,"JOE TOMOLEONI'S FIRST CAPTURE
LUI",f,s,2,1,28.4,12.9,100.4,67.6,25.2,38.9,,Very Light,"SLIGHT WEAR, TOP AND BOTTOM",,,6.9,,3,MURRAY,NO,NO,,,,,,,,Boat Release,N 36?58.765,W 121?29.669
N-1454-11-S,8-Nov-11,1177,1,BSR,TINKER/ESTES,13:00,DLCY,DLCY,36.10255,-121.625717,NO,WEITZMAN/TOMOLEONI,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-107,YES,LB-1/2-319,YES,4A3D0F1315,YES,,NO,,,,,f,a,2,5,38.4,17.4,116.5,70.5,28,6.4,,Heavy,,,,,,12,,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.957
N-1455-11-S,8-Nov-11,1178,2,BSR,TINKER/ESTES,13:00,DLCY,DLCY,36.10255,-121.625717,NO,WEITZMAN/TOMOLEONI,Wilson Traps/ Divers,NO,YES,NO,WH-1/2-117,YES,OR-4/5-6777,YES,4A42321839,YES,,NO,,,,captured with 1177-11,f,a,4,3,41.9,19,113.5,70.2,26,47.3,,Light,,,,8,,7,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.975
N-1456-11-S,10-Nov-11,1179,3,BSR,TINKER/ESTES,8:50,DLCY,DLCY,36.1125,-121.633817,NO,WEITZMAN/TOMOLEONI,Wilson Traps/ Divers,NO,NO,NO,WH-1/2-105,YES,PI-1/2-26,YES,4A423F204D,YES,,NO,,,,,f,a,2,3,40.3,18.3,112.6,75,26,45.4,,,,,,7.5,,4,STAEDLER,NO,NO,,,,,,,,Shore Release,N 36?04.181,W 121?35.975
N-1213-03-S,22-Apr-09,941-03,444,MON,TINKER/ESTES,16:48,MBA,Mon,36.619483,-121.8989,YES,Harris/Weitzman,Wilson Traps/ Divers,NO,NO,NO,PI-12-101,YES,RE-45-159,YES,201D63144C,YES,4776687775,YES,,,,pregnant,f,a,1,2,45.2,20.5,117,69.1,29,45.4,,Moderate,,,,7.4,,7,STAEDLER,NO,NO,,,Pregnant.,,,,,MBA Davit,,
N-1213-03-S,10-Jul-12,941-03,29,MON,TINKER/ESTES,12:05,BER,MON,36.623,-121.908283,YES,Harris,Wilson Traps/ Divers,NO,NO,YES,,YES,,YES,,NO,4776687775,YES,,,,,f,o,1,2,46.1,20.9,117.8,74.6,26.5,49.4,,,,,,,,10,STAEDLER,NO,NO,,,Palpably pregnant.  Fetal swelling ~~ 6 cm X 4 cm,,,,,MBA Davit,36?37.142,-121?54.039
N-1218-03-S,2-Dec-09,4-257,506,MON,TINKER/ESTES,11:19,ELTO,MON,36.61635,-121.896433,YES,Ames,Wilson Traps/ Divers,NO,NO,YES,YE-23-MBA 105,YES,TQ-23-226,YES,,NO,452F723920,YES,167.778,Thermister,,,f,a,3,3,49.8,22.6,119,78.2,28.4,40.7,,Light,,,,7.3,,8,KNOWN DOB,NO,NO,,,"temple-temple=116, nose-chest=n/a; Nose wound = pink to red (3 - 4)",,,,,Boat Release,36?37.142,-121?54.039
N-1218-03-S,11-Feb-11,4-257,585,MON,TINKER/ESTES,9:45,MBIN,MON,36.612883,-121.896417,YES,Tomoleoni,Wilson Traps/ Divers,NO,YES,NO,YE-23-109,YES,TQ-23-236,YES,,NO,4252F723920,YES,167.778,Thermister,,Moderate inguinal lymph nodes. Perforated right upper lip with tooth during capture.,f,a,3,4,47,21.3,120,76.8,28.9,45.8,,Moderate,,,,6.9,,10,STAEDLER,NO,NO,,,,,,,,MBA Davit,36?37.142,-121?54.039
N-1218-03-S,16-Jan-13,4-257,n/a,MON,TINKER/ESTES,16:24,ELTO,MON,36.617633,-121.89755,YES,Hatfield,Wilson Traps/ Divers,NO,NO,NO,,YES,,YES,452F723920,YES,,NO,167.778,,,"no tags, big chewed nose",f,a,4,5,46.1,20.9,119.9,75.3,29.5,42,,,,,,,,12,STAEDLER,NO,NO,,,,,,,,MBA Davit,36?35.142,-121?55.000
N-1235-03-S,10-Jun-09,945-03,444,MON,TINKER/ESTES,16:38,PPE,MON,36.63815,-121.93615,YES,Harris,Wilson Traps/ Divers,NO,YES,NO,PI-4/5-MBA 111,YES,GO-12-7150,YES,201D691347,NO,481069656A,YES,166.309,Thermister,890360,Right Pit not read,m,a,2,1,67.2,30.5,126.1,78.3,28.9,49.2,20.8,Moderate,,,,8.3,,8,STAEDLER,NO,NO,,,,,,,,Shore Release,36?38.289,-121?56.169
N-1249-04-S,8-Jun-10,ORWH,546,MON,TINKER/ESTES,10:30,HMSW,MON,36.6234,-121.90705,YES,Hatfield,Wilson Traps/ Divers,NO,NO,NO,OR-4/5-MBA 175,YES,WH-45-250,YES,4734585D51,YES,445C6B6B43,YES,166.217,Thermister,790341,,m,o,4,1,72.3,32.8,131,81.5,29.2,52.1,21.3,Moderate,,,,8.6,,11,STAEDLER,NO,NO,,,Lambdoidal crest to nose: 19.8mm     Temple to temple: 111.18mm,,,,,Boat Release,36?37.404,-121?54.423
N-1249-04-S,1-Sep-11,ORWH,526,MON,TINKER/ESTES,11:44,HMSW,MON,36.623133,-121.904833,YES,Hatfield,Wilson Traps/ Divers,NO,NO,NO,OR-4/5-MBA 050,YES,WH-45-122,YES,,NO,445C6B6B43,YES,166.217,Thermister,removed,,m,o,4,3,72.1,32.7,129,83.5,27.8,52.2,23,,,,,,,11,STAEDLER,NO,NO,,,normal body condition,,,,,Boat Release,36?37.388,-121?54.290
N-1272-05-S,26-Feb-08,REPU,344,MON,TINKER/ESTES,12:18,LPE,MON,36.625433,-121.911483,YES,Kenner,Wilson Traps/ Divers,NO,NO,NO,RE-3/4-MBA 106,YES,PU-34-7033,YES,,NO,4464284446,YES,166.103,Thermister,,,m,a,4,1,67.5,30.6,134,78.3,31.5,50.6,23,,,,,8.6,,8,STAEDLER,NO,NO,,,Broken left leg = Tibia,,,,,Shore Release,36?37.509,-121?54.927
N-1274-05-S,11-Jan-12,999-05,25,MON,TINKER/ESTES,15:46,LUCA,MON,36.636917,-121.925183,YES,Harris,Wilson Traps/ Divers,NO,NO,NO,,YES,,YES,,NO,44615D0F54,YES,,,,,f,a,,,41.9,19,117.4,72.8,30,4.77,,,,,,,,10,STAEDLER,NO,NO,,,,,,,,MBA Davit,,
N-1275-05-S,1-Jan-12,1000-05,23,MON,TINKER/ESTES,10:42,OPE,MON,36.631417,-121.91985,YES,Weitzman,Wilson Traps/ Divers,NO,NO,YES,TQ-12-MBA 228,YES,YE-45-139,YES,4802177757,YES,455FC3714E,YES,167.772,Thermister,890342,Captured for TDR removal but palpably pregnant so only blood and and xray to double check TDR,f,a,3,4,43.9,19.9,117.4,73.5,27.4,43.5,,,,,,,,11,MURRAY,NO,NO,,,"age estimated at 7-8 yrs at time of capture by Murray, but later changed to 11 yrs as per original estimation.",,,,,MBA Davit,36?37.136,-121?54.102
N-1275-05-S,17-Jun-09,1000-05,452,MON,TINKER/ESTES,15:10,PPW,MON,36.635583,-121.943783,YES,Weitzman,Wilson Traps/ Divers,NO,NO,NO,TQ-1/2-MBA 325,YES,YE-4/5-6999,YES,4802177757,YES,455F3C714E,YES,167.772,Thermister,890342,Other #: 167.772,f,a,2,4,43.7,19.8,116,68.8,29.5,41.5,,Light,,,,6.8,,6,STAEDLER,NO,NO,,,,,,,,Shore Release,36?38.228,-121?56.092
